********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,23-Feb-21,Time,12:44
Core random seed,  1775512646
*******************
Selected Configuration,  1
Session Type,  6
Moyenne Des Sessions,  40


711776,33 69 
712041,59 75 
712259,2 66 
712276,72 69 
712310,31 68 
712695,15 74 
712695,15 65 
712695,15 3 
713194,84 66 
713210,72 69 
713445,23 75 
713711,07 66 
713727,83 69 
715309,33 75 
715462,97 66 
715479,17 69 
715899,21 75 
716126,92 66 
716129,86 69 
716330,4 75 
716459,93 66 
716463,32 69 
716713,87 68 
716902,65 74 
716902,65 65 
716902,65 3 
717460,91 66 
717464,13 69 
718215,23 75 
718641,45 66 
718648,53 69 
719465,45 75 
719634,97 66 
719649,25 69 
720549,6 75 
720970,94 64 
720983,39 68 
721082,52 74 
721082,52 4 
721207,71 66 
721217,02 69 
721970,59 75 
722294,6 66 
722301,38 69 
722565,97 75 
722699,55 66 
722701,64 69 
725103,19 68 
725277,88 74 
725277,88 65 
725277,88 3 
726086,59 66 
726103,87 69 
728721,7 75 
728919,22 66 
728922,83 69 
729289,78 68 
730342,57 74 
730342,57 4 
730511,48 66 
730523,91 69 
731117,84 75 
731651,14 66 
731658,65 69 
732234,34 75 
732422,72 66 
732425,57 69 
734133,12 75 
734243,26 66 
734260,15 69 
734360,24 68 
734817,75 74 
734817,75 65 
734817,75 3 
734869,93 66 
734878,04 69 
737682,38 75 
737867,29 66 
737879,6 69 
738407,19 75 
738942,73 64 
738947,47 68 
739102,71 74 
739102,71 65 
739102,71 3 
739613,12 66 
739631,11 69 
743116,92 68 
743409,65 74 
743409,65 65 
743409,65 3 
743614,34 66 
743617,43 69 
744745,33 75 
745079,34 66 
745085,12 69 
745973,85 75 
746187,32 66 
746202,6 69 
747100,29 75 
747315,03 66 
747320,29 69 
747420,47 68 
747742,98 74 
747742,98 65 
747742,98 3 
748411,26 66 
748420,91 69 
748817,64 75 
748944,83 66 
748954,73 69 
748974,11 75 
749103,11 66 
749104,87 69 
751441,53 75 
751546,26 66 
751556,69 69 
751757,07 68 
751883,03 74 
751883,03 65 
751883,03 3 
752318,98 66 
752324,44 69 
752630,85 75 
752826,85 66 
752840,99 69 
753107,84 75 
753427,91 66 
753441,49 69 
753662,26 75 
753911,01 66 
753925,14 69 
754371,83 75 
754554,64 66 
